,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
0,LE SSERAFIM,FEARLESS,FEARLESS,296nXCOv97WJNRWzIBQnoj,0.863,0.62,7,-7.167,1,0.135,0.00324,0.129,0.432,103.971,168437,4,Energetic
1,BTS,Proof,Butter,6jjYDGxVJsWS0a5wlVF5vS,0.759,0.459,8,-5.187,1,0.0948,0.0,0.0788,0.695,109.997,164952,4,Energetic
2,NAYEON,IM NAYEON,POP!,3lOMJTQTd6J34faYwASc33,0.795,0.859,2,-2.994,1,0.0542,0.0,0.0321,0.356,96.986,168107,4,Energetic
3,PSY,PSY 9th,That That (prod. & feat. SUGA of BTS),7GNRUsU3M4XNDDB9xle5Dz,0.905,0.962,4,-3.197,1,0.0856,0.0,0.0272,0.906,129.969,174647,4,Energetic
4,(G)I-DLE,I NEVER DIE,TOMBOY,0IGUXY4JbK18bu9oD4mPIm,0.755,0.87,1,-2.414,0,0.0936,0.0,0.0917,0.645,124.032,174387,4,Energetic
5,SEVENTEEN,SEVENTEEN 4th Album 'Face the Sun',HOT,6I2tqFhk8tq69iursYxuxd,0.765,0.777,5,-4.376,0,0.0399,2.58e-06,0.338,0.64,111.944,197587,4,Energetic
6,TOMORROW X TOGETHER,minisode 2: Thursday's Child,Good Boy Gone Bad,1HsSIPLTQT354yJcQGfEY3,0.475,0.695,1,-5.919,1,0.102,0.0,0.125,0.552,100.009,191038,4,Energetic
7,Stray Kids,NOEASY,Thunderous,0nwTMzpatarzvLvtwwzdCt,0.601,0.786,1,-3.706,1,0.234,0.0,0.209,0.79,172.156,183267,4,Energetic
8,TWICE,Eyes Wide Open,I CAN'T STOP ME,37ZtpRBkHcaq6hHy0X98zn,0.657,0.88,10,-3.672,0,0.102,0.0,0.463,0.769,150.084,205493,4,Energetic
9,ITZY,CRAZY IN LOVE,LOCO,56Yxkm62GtEpnPyG7TvwLY,0.759,0.886,1,-3.067,1,0.187,2.04e-05,0.342,0.489,102.065,191462,4,Energetic
10,BTS,Permission to Dance,Permission to Dance,3XYRV7ZSHqIRDG87DKTtry,0.702,0.741,9,-5.33,1,0.0427,0.0,0.337,0.646,124.925,187585,4,Energetic
11,LE SSERAFIM,FEARLESS,Sour Grapes,6wBpO4Xc4YgShnENGSFA1M,0.779,0.801,6,-5.564,0,0.0457,0.0,0.108,0.72,139.998,196540,4,Energetic
12,Stray Kids,GO LIVE,God’s Menu,4XPXrcpyNr30Km6aPiflJy,0.689,0.771,5,-3.618,1,0.0548,0.0,0.521,0.482,157.052,167922,4,Energetic
13,ENHYPEN,MANIFESTO : DAY 1,Future Perfect (Pass the MIC),6PRy17C5LiiN7VCLS6IA98,0.658,0.9,9,-3.479,0,0.264,0.0,0.0771,0.526,156.096,180750,4,Energetic
